id,category,name,description,starter_blocks,growth_blocks
1,Local Service,Lawn Care Service,Residential and commercial lawn maintenance,"Name & Logo,Legal Setup,Booking System,Payments Setup","CRM & Pipeline,Fleet Tracker,Review Manager,Local SEO Starter"
2,Local Service,Pressure Washing Business,Clean driveways decks and exteriors,"Name & Logo,Legal Setup,Booking System,Payments Setup","Fleet Tracker,Review Manager,Before/After Gallery,Local Ads Starter"
3,Local Service,House Cleaning Service,Residential cleaning and maid service,"Name & Logo,Legal Setup,Booking System,Payments Setup","CRM & Pipeline,Review Manager,Recurring Billing,Local SEO Starter"
4,Local Service,Junk Removal & Hauling,Remove unwanted items and debris,"Name & Logo,Legal Setup,Booking System,Payments Setup","Fleet Tracker,Review Manager,Before/After Gallery,Local Ads Starter"
5,Local Service,Handyman Service,Home repairs and maintenance,"Name & Logo,Legal Setup,Booking System,Payments Setup","CRM & Pipeline,Review Manager,Service Menu,Local SEO Starter"
6,Local Service,Moving Company,Local and long-distance moving,"Name & Logo,Legal Setup,Booking System,Payments Setup","Fleet Tracker,Review Manager,Quote Calculator,Local Ads Starter"
7,Local Service,Window Cleaning,Residential and commercial windows,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,Recurring Billing,Local SEO Starter,Before/After Gallery"
8,Local Service,Pest Control Service,Eliminate insects and rodents,"Name & Logo,Legal Setup,Booking System,Payments Setup","CRM & Pipeline,Review Manager,Recurring Billing,Local Ads Starter"
9,Local Service,Pool Cleaning Service,Maintain swimming pools,"Name & Logo,Legal Setup,Booking System,Payments Setup","CRM & Pipeline,Recurring Billing,Review Manager,Local SEO Starter"
10,Local Service,Gutter Cleaning,Clean and maintain gutters,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,Local SEO Starter,Before/After Gallery,Seasonal Campaigns"
11,Local Service,Snow Removal Service,Winter snow plowing and shoveling,"Name & Logo,Legal Setup,Booking System,Payments Setup","Fleet Tracker,Review Manager,Recurring Billing,Local Ads Starter"
12,Local Service,Carpet Cleaning,Deep clean carpets and upholstery,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,Before/After Gallery,Local SEO Starter,CRM & Pipeline"
13,Local Service,Tree Trimming Service,Prune and remove trees,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,Fleet Tracker,Local SEO Starter,Local Ads Starter"
14,Local Service,Landscaping Design,Design and install landscapes,"Name & Logo,Legal Setup,Booking System,Payments Setup","Portfolio Site,Review Manager,CRM & Pipeline,Local SEO Starter"
15,Local Service,Painting Service,Interior and exterior painting,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,Before/After Gallery,Quote Calculator,Local Ads Starter"
16,Local Service,Roofing Contractor,Roof repairs and installation,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,CRM & Pipeline,Local SEO Starter,Local Ads Starter"
17,Local Service,Plumbing Service,Residential plumbing repairs,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,CRM & Pipeline,Emergency Hotline,Local SEO Starter"
18,Local Service,Electrical Service,Electrical repairs and installation,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,CRM & Pipeline,Emergency Hotline,Local SEO Starter"
19,Local Service,HVAC Service,Heating and cooling maintenance,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,CRM & Pipeline,Recurring Billing,Local Ads Starter"
20,Local Service,Appliance Repair,Fix washers dryers refrigerators,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,CRM & Pipeline,Service Menu,Local SEO Starter"
21,Local Service,Locksmith Service,Emergency lockouts and rekeying,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,Emergency Hotline,Local Ads Starter,CRM & Pipeline"
