name,category,description,is_free,typical_price,dependencies,tags
Name & Logo,Foundation,Business name brainstorming and professional logo design,TRUE,Free,,"branding,identity,design"
Legal Setup,Foundation,Business structure LLC Sole Prop and EIN registration,FALSE,$99-$249,,"legal,compliance,foundation"
Website Starter,Foundation,Professional single-page website with hosting,FALSE,$49-$149,,"web,online presence"
Booking System,Foundation,Online appointment scheduling and calendar,FALSE,$29-$79,,"scheduling,appointments"
Payments Setup,Foundation,Accept credit cards and online payments,FALSE,$0-$49,,"payments,transactions"
Store Setup,Commerce,E-commerce store with product listings,FALSE,$79-$199,,"ecommerce,online store"
Product Listings,Commerce,Professional product descriptions and pricing,FALSE,$29-$99,Store Setup,"products,catalog"
Donation Setup,Nonprofit,Accept one-time and recurring donations,FALSE,$29-$79,Payments Setup,"nonprofit,fundraising"
Email Platform,Email,Professional email marketing platform setup,FALSE,$29-$79,,"email,marketing"
Email Welcome Series,Email,Automated welcome email sequence 5 emails,FALSE,$49-$149,Email Platform,"automation,onboarding"
CRM & Pipeline,Growth,Customer relationship management system,FALSE,$49-$149,,"sales,customers"
Review Manager,Growth,Collect and display customer reviews,FALSE,$29-$79,,"reputation,social proof"
Local SEO Starter,Growth,Google Business Profile optimization,FALSE,$49-$149,,"seo,local,visibility"
Facebook Ads Starter,Growth,First Facebook ad campaign setup,FALSE,$79-$199,,"ads,facebook,marketing"
Instagram Growth,Growth,Instagram profile optimization and strategy,FALSE,$49-$149,,"instagram,social media"
Social Media Kit,Brand,Branded templates for all social platforms,FALSE,$49-$149,Name & Logo,"social media,branding"
Portfolio Site,Web,Showcase your work with gallery and case studies,FALSE,$99-$249,Website Starter,"portfolio,showcase"
Course Platform,Web,Sell and deliver online courses,FALSE,$99-$249,Website Starter,"education,courses"
Event Calendar,Web,Display and manage events on your site,FALSE,$29-$79,Website Starter,"events,calendar"
Recurring Billing,Commerce,Subscription and membership billing,FALSE,$49-$149,Payments Setup,"subscriptions,recurring"
Fleet Tracker,Operations,Track vehicles and optimize routes,FALSE,$49-$149,,"logistics,tracking"
Before/After Gallery,Marketing,Showcase transformation photos,FALSE,$29-$79,,"visual,portfolio"
Quote Calculator,Operations,Automated quote and estimate tool,FALSE,$49-$149,,"pricing,estimates"
Service Menu,Operations,Display services and pricing,TRUE,Free,,"services,pricing"
Emergency Hotline,Operations,24/7 emergency contact system,FALSE,$29-$79,,"support,emergency"
Pet Profile System,Specialized,Manage pet records and preferences,FALSE,$29-$79,,"pets,records"
Class Scheduler,Education,Schedule and manage classes,FALSE,$49-$149,Booking System,"education,scheduling"
Enrollment System,Education,Student registration and onboarding,FALSE,$79-$199,,"education,registration"
Parent Portal,Education,Parent communication and updates,FALSE,$49-$149,,"education,parents"
Medical Compliance,Healthcare,HIPAA and medical regulations compliance,FALSE,$99-$249,Legal Setup,"healthcare,compliance"
Telehealth Setup,Healthcare,Virtual appointment platform,FALSE,$79-$199,Booking System,"telehealth,virtual"
Treatment Packages,Healthcare,Package pricing for treatments,FALSE,$29-$79,Payments Setup,"healthcare,pricing"
Insurance Billing,Healthcare,Medical insurance claim processing,FALSE,$99-$249,,"healthcare,insurance"
Inventory System,Operations,Track stock and manage inventory,FALSE,$49-$149,,"inventory,stock"
Member Portal,Membership,Private member login and content,FALSE,$79-$199,Website Starter,"membership,access"
Discussion Forum,Community,Community discussion board,FALSE,$49-$149,Website Starter,"community,forum"
Certificate Generator,Education,Automated certificate creation,FALSE,$29-$79,Course Platform,"certificates,credentials"
Student Portal,Education,Student dashboard and resources,FALSE,$79-$199,,"education,students"
Resource Library,Content,Organized document and file library,FALSE,$29-$79,Website Starter,"resources,content"
Video Library,Content,Host and organize video content,FALSE,$49-$149,Website Starter,"video,content"
TikTok Ads Management,Marketing,TikTok advertising campaigns,FALSE,$99-$249,,"marketing,ads,tiktok"
Google Ads Starter,Marketing,Google search and local ads,FALSE,$79-$199,,"marketing,ads,google"
YouTube Ads Setup,Marketing,YouTube video advertising,FALSE,$79-$199,,"marketing,ads,youtube"
LinkedIn Ads for B2B,Marketing,B2B LinkedIn campaigns,FALSE,$99-$249,,"marketing,ads,b2b"
Pinterest Ads Setup,Marketing,Pinterest visual ads,FALSE,$79-$149,,"marketing,ads,pinterest"
Snapchat Ads,Marketing,Snapchat advertising,FALSE,$79-$149,,"marketing,ads,snapchat"
Podcast Advertising,Marketing,Podcast sponsorship outreach,FALSE,$49-$149,,"marketing,ads,podcast"
Radio Spot Creation,Marketing,Local radio advertising,FALSE,$99-$249,,"marketing,ads,radio"
Billboard Design,Marketing,Outdoor advertising creative,FALSE,$49-$149,,"marketing,outdoor"
Vehicle Wrap Design,Marketing,Mobile advertising design,FALSE,$99-$249,,"marketing,vehicle"
Guerrilla Marketing Kit,Marketing,Creative low-cost tactics,TRUE,Free,,"marketing,guerrilla"
Viral Content Strategy,Marketing,Trending content playbook,FALSE,$49-$149,,"marketing,viral"
Brand Ambassador Program,Marketing,Ambassador recruitment,FALSE,$79-$199,,"marketing,brand"
Loyalty Program Setup,Marketing,Points and rewards system,FALSE,$49-$149,,"marketing,loyalty"
Customer Retention Strategy,Marketing,Win-back campaigns,FALSE,$49-$149,,"marketing,retention"
Multi-Location Management,Operations,Centralized multi-site control,FALSE,$99-$249,,"operations,multi-location"
