name,category,description,is_free,typical_price,dependencies,tags
Name & Logo,Brand,Professional naming options + logo concepts & files,True,Free → $49+,,"['branding', 'identity']"
Brand Kit,Brand,"Colors, fonts, styles, usage guide",False,$49–$149,Name & Logo,['branding']
Domain & Business Email,Foundation,"Domain suggestions, DNS + Google/Microsoft email setup guidance",True,Free → $29 setup,Website Starter,"['domain', 'email']"
Legal (LLC/EIN),Legal,State filing guidance + EIN registration flow,False,$99–$199 + fees,,['legal']
Licenses & Permits Checklist,Legal,Local/state licenses & permits checklist,True,Free,Legal (LLC/EIN),"['legal', 'compliance']"
Business Bank & Accounting Setup,Finance,Bank account checklist + accounting tool setup,True,Free,,['finance']
Insurance Guide,Finance,Coverage recommendations + broker referral,True,Free,,['insurance']
Business Phone & VoIP,Foundation,Dedicated number setup (Twilio/Zoom/Grasshopper),False,$15–$49/mo via partner,,['phone']
Virtual Address/Mailbox,Foundation,Setup through partner for mail handling,False,$10–$30/mo via partner,,['address']
Website Starter,Web,Responsive site with 3–5 pages + CMS,False,$149–$399,,['website']
Landing Pages & Funnels,Web,Lead gen pages with forms & tracking,False,$49–$149,Website Starter,['funnels']
Online Store Setup,Commerce,"Catalog, taxes, shipping, policies",False,$99–$249,Payments Setup,['store']
Digital Downloads,Commerce,"Sell templates, ebooks, music",False,$49–$149,Payments Setup,['digital']
Membership/Course Platform,Commerce,"Subscriptions, lessons, community",False,$99–$299,Payments Setup,"['membership', 'course']"
Donations/Tithes,Commerce,Nonprofit/giving setup with receipts,False,$49–$149,Payments Setup,['donations']
Payments Setup,Commerce,Stripe/PayPal/Square with products,True,Free,,['payments']
POS Integration,Commerce,In-person POS connection,False,$49–$149,Payments Setup,['pos']
Online Booking,Scheduling,"Calendars, services, buffers, reminders",True,Free,,['booking']
CRM & Pipeline,CRM,"Contacts, deals, stages, tasks",True,Free,,['crm']
Invoicing & Estimates,Finance,"Quotes, invoices, deposits",True,Free,,['invoicing']
Google Business Profile,Growth,"Setup/optimize profile, categories, photos",True,Free,,['local seo']
Local SEO Pack,Growth,"Citations, keywords, location pages",False,$79–$199,Website Starter,['seo']
SEO Starter,Growth,"On-page titles, metas, speed checklist",True,Free,Website Starter,['seo']
Email Welcome Series,Email,3–5 automated emails + setup,False,$49–$149,Email Platform Setup,['email']
Email Platform Setup,Email,"Connect ESP, lists, forms",True,Free,,['email']
Abandoned Cart Emails,Email,Recover lost sales flow,False,$49–$99,"Online Store Setup, Email Platform Setup","['email', 'ecom']"
Social Setup,Social,Create/optimize profiles + link-in-bio,True,Free,,['social']
30‑Post Launch Kit,Social,Caption-ready posts + canva files,False,$49–$149,Social Setup,['content']
Ads Starter (Meta/TikTok),Ads,"Audience, creatives, budget plan",False,$79–$199,,['ads']
Influencer Outreach Pack,Social,DM/email templates + list-building,False,$39–$99,,['influencer']
Reviews & Referrals,Growth,Request flows + referral links,True,Free,,"['reviews', 'referrals']"
Automation (Zapier/Make),Automation,Lead → CRM → Email automations,False,$49–$199,"CRM & Pipeline, Email Platform Setup",['automation']
AI Chatbot,Support,Lead capture & FAQs chatbot,False,$49–$149,Website Starter,['chatbot']
Helpdesk/Inbox,Support,Shared inbox with SLA templates,True,Free,,['support']
Knowledge Base,Support,Self-serve docs & tutorials,True,Free,,['docs']
Service Agreement Templates,Docs,Editable contracts & intake forms,True,Free,Legal (LLC/EIN),['contracts']
Proposal & Quote Templates,Docs,Branded proposal docs,True,Free,,['proposals']
SOP Starter Pack,Docs,Standard operating procedures templates,True,Free,,['sop']
Dog Walking Pack,Industry,"Rates, routes, intake, pet care SOP",False,$49–$149,"Online Booking, CRM & Pipeline",['pets']
Lawn Care Pack,Industry,"Routes, pricing calc, seasonal promos",False,$49–$149,Google Business Profile,['lawn']
Cleaning Service Pack,Industry,"Checklist, supplies, client rotation",False,$49–$149,Online Booking,['cleaning']
Handyman Pack,Industry,"Scopes, estimates, materials tracking",False,$49–$149,Invoicing & Estimates,['handyman']
Mobile Detailing Pack,Industry,"Packages, before/after media SOP",False,$49–$149,Online Booking,['auto']
Church/Ministry Pack,Industry,"Donations, sermons, volunteers",False,$49–$149,Donations/Tithes,['faith']
Nonprofit Pack,Industry,"Mission, donors, grants basics",False,$49–$149,Donations/Tithes,['nonprofit']
Real Estate Agent Kit,Industry,"Lead capture, CMA templates",False,$79–$199,CRM & Pipeline,['real estate']
Photography Business Kit,Industry,"Packages, galleries, contracts",False,$49–$149,Website Starter,['photo']
Coaching Starter Kit,Industry,"Calendars, packages, intake",False,$49–$149,Scheduling & Meetings,['coach']
SBA Loan Prep,Finance,"Docs checklist, lender intro scripts",False,$79–$199,Business Bank & Accounting Setup,['loans']
Grants Finder,Finance,Curated grant list + alerts setup,False,$49–$149,,['grants']
Pricing Calculator,Finance,"COGS, margin, breakeven tools",True,Free,,['pricing']
Pitch Deck Starter,Finance,Editable deck + narrative,True,Free,,['deck']
Business Cards (Design + Print),Print,Design + bulk print via partner,False,$15–$49,Brand Kit,['print']
Flyer/Door Hanger Pack,Print,Neighborhood-ready designs,False,$15–$49,Brand Kit,['print']
Merch POD Setup,Print,Print-on-demand supplier setup,False,$0 setup + margin,Online Store Setup,['pod']
Newsletter Setup,Email,"Opt-ins, template, first issue",True,Free,Email Platform Setup,['newsletter']
Blog Starter,Content,Blog structure + first 3 posts,False,$49–$149,SEO Starter,['content']
Background Checks Guide,Safety,Vendors & workflows (kids/elder),True,Free,,['safety']
Food Cottage Compliance,Legal,"Labels, permits, kitchen guide",False,$49–$149,,['food']
Course Launch Funnel,Commerce,Lead → webinar → offer path,False,$79–$199,Membership/Course Platform,['funnel']
Referral Program,Growth,Track and reward referrals,True,Free,CRM & Pipeline,['growth']
Affiliate Setup,Growth,Affiliate links & payouts,False,$49–$149,Online Store Setup,['affiliate']
Gift Cards,Commerce,Sell/store credit,True,Free,Payments Setup,['gift']
Subscriptions,Commerce,Recurring plans & dunning,True,Free,Payments Setup,['subs']
SMS Marketing Starter,Marketing,Capture & basics via partner,False,$20–$59/mo via partner,CRM & Pipeline,['sms']
WhatsApp Business,Marketing,Click-to-chat + templates,True,Free,CRM & Pipeline,['whatsapp']
